"","Wormbase.ID","Sequence.ID","Category.1","Category.2","Category.3","Automated.Description"
"1","WBGene00000977","R05D8.8","Metabolism","Metabolism: short chain dehydrogenase","Metabolism: short chain dehydrogenase","dhs-14 is an ortholog of human HSD17B14\; is predicted to encode a protein with the following domains: Short-chain dehydrogenase\/reductase SDR and NAD(P)-binding domain superfamily."
"2","WBGene00000988","F09E10.3","Metabolism","Metabolism: lipid","Metabolism: lipid: sterol","dhs-25 is an ortholog of human HSD17B8 (hydroxysteroid 17-beta dehydrogenase 8)\; human HSD17B8 exhibits NADH binding activity and oxidoreductase activity."
"3","WBGene00002095","C17C3.19","Metabolism","Metabolism: insulin","Metabolism: insulin","ins-12 is expressed in head neurons, motor neurons, nerve ring neurons, sensory neurons, and the rectum\; is predicted to encode a protein with the following domain: Insulin-like superfamily."
"4","WBGene00006351","K03A1.5","Metabolism","Metabolism: lipid","Metabolism: lipid: fatty acid","sur-5 is an ortholog of human AACS (acetoacetyl-CoA synthetase)\; is predicted to have ATP binding activity and acetoacetate-CoA ligase activity\; is expressed in several tissues, including the body wall musculature, the excretory cell, the hypodermis, the reproductive system, and the vulval precursor cell."
"5","WBGene00007872","C32H11.9","Stress response","Stress response: pathogen","Stress response: pathogen: CUB","C32H11.9 is enriched in the intestine based on RNA-seq studies\; is affected by several genes including daf-16, daf-2, and age-1 based on microarray, tiling array, and RNA-seq studies\; is affected by fifteen chemicals including methylmercury hydroxide, methylmercuric chloride, and Tunicamycin based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: CUB-like domain."
"6","WBGene00009397","F35C5.9","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin","clec-66 is predicted to have carbohydrate binding activity\; is involved in innate immune response\; is expressed in the intestine."
"7","WBGene00010058","F54E4.2","Transmembrane protein","Transmembrane protein: seven transmembrane receptor","Transmembrane protein: seven transmembrane receptor: unassigned","F54E4.2 is predicted to have G protein-coupled receptor activity."
"8","WBGene00011184","R09H10.7","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","R09H10.7 is enriched in GABAergic neurons, the coelomocyte, the excretory cell, the intestine, and the seam cell based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, clk-1, and alg-1 based on RNA-seq, tiling array, and microarray studies\; is affected by eight chemicals including 1-methylnicotinamide, Tunicamycin, and multi-walled carbon nanotube based on RNA-seq and microarray studies."
"9","WBGene00011668","T09F5.9","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin","clec-47 is an ortholog of human CLEC4A, CLEC4C, and CD209 and members of the human CLEC (C-type lectin domain containing) gene family including CLEC6A and CLEC4E\; is predicted to have carbohydrate binding activity\; is involved in response to gamma radiation."
"10","WBGene00012583","Y38E10A.5","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin","clec-4 is an ortholog of human CLEC3A (C-type lectin domain family 3 member A) and CLEC3B (C-type lectin domain family 3 member B)\; is predicted to have carbohydrate binding activity."
"11","WBGene00014472","MTCE.33","Metabolism","Metabolism: mitochondria","Metabolism: mitochondria: ribosome","MTCE.33 is affected by several genes including hsf-1, npr-1, and lin-28 based on RNA-seq studies\; is affected by Alovudine, stavudine, and Zidovudine based on RNA-seq studies."
"12","WBGene00015323","C02B8.5","Neuronal function","Neuronal function: synaptic function","Neuronal function: synaptic function: neurotransmitter receptor","frpr-1 is predicted to have G protein-coupled receptor activity."
"13","WBGene00015403","C03H5.1","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin","clec-10 is an ortholog of human CLEC3A (C-type lectin domain family 3 member A) and CLEC3B (C-type lectin domain family 3 member B)\; is predicted to have carbohydrate binding activity."
"14","WBGene00015623","C09B8.4","Transmembrane protein","Transmembrane protein: unassigned","Transmembrane protein: unassigned","C09B8.4 is an ortholog of human TMEM53\; is predicted to encode a protein with the following domains: Protein of unknown function DUF829, TMEM53 and Alpha\/Beta hydrolase fold."
"15","WBGene00015887","C17C3.1","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation","C17C3.1 is an ortholog of human ACOT8 (acyl-CoA thioesterase 8)\; is predicted to have acyl-CoA hydrolase activity."
"16","WBGene00015894","C17C3.12","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation","acdh-2 is an ortholog of human ACADSB (acyl-CoA dehydrogenase short\/branched chain)\; is predicted to have flavin adenine dinucleotide binding activity and oxidoreductase activity, acting on the CH-CH group of donors\; is expressed in the body wall musculature and the intestine."
"17","WBGene00015897","C17E7.1","Transcription factor","Transcription factor: NHR","Transcription factor: NHR","nhr-156 is predicted to have DNA-binding activity transcription factor activity, sequence-specific DNA binding activity, and zinc ion binding activity\; is expressed in several tissues, including the alimentary system, the excretory system, and the nervous system."
"18","WBGene00016048","C24B9.3","Extracellular material","Extracellular material: matrix","Extracellular material: matrix","C24B9.3 is enriched in the intestine based on tiling array and RNA-seq studies\; is affected by several genes including daf-16, daf-12, and let-7 based on microarray, proteomic, and RNA-seq studies\; is affected by eleven chemicals including methylmercuric chloride, stavudine, and Cry5B based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domains: von Willebrand factor, type A and von Willebrand factor A-like domain superfamily."
"19","WBGene00017301","F09F7.4","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation","hach-1 is an ortholog of human HIBCH\; is predicted to have 3-hydroxyisobutyryl-CoA hydrolase activity."
"20","WBGene00019738","M02F4.7","Stress response","Stress response: C-type Lectin","Stress response: C-type Lectin","clec-265 is predicted to have carbohydrate binding activity."
"21","WBGene00019963","R08E5.3","Protein modification","Protein modification: methyltransferase","Protein modification: methyltransferase","R08E5.3 is expressed in the intestine\; is predicted to encode a protein with the following domains: Methyltransferase domain, S-adenosyl-L-methionine-dependent methyltransferase, and Winged helix-like DNA-binding domain superfamily."
"22","WBGene00020182","T03D3.1","Stress response","Stress response: detoxification","Stress response: detoxification: ugt","ugt-53 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have transferase activity, transferring hexosyl groups."
"23","WBGene00020311","T07D3.9","Metabolism","Metabolism: lipid","Metabolism: lipid: beta oxidation","T07D3.9 is an ortholog of human ACOT9 (acyl-CoA thioesterase 9)\; is predicted to encode a protein with the following domain: HotDog domain superfamily."
"24","WBGene00020516","T15B7.1","Unassigned","Unassigned","Unassigned: regulated by multiple stresses","T15B7.1 is an ortholog of human FCN3, FCN2, and FCN1\; human orthologs of this gene are implicated in several diseases, including autosomal dominant nonsyndromic deafness 56, congenital afibrinogenemia, and familial hypobetalipoproteinemia 2\; human FCN2 exhibits several functions, including antigen binding activity, calcium-dependent protein binding activity, and mannan binding activity."
"25","WBGene00020528","T15B7.16","Transmembrane transport","Transmembrane transport: extracellular ligand gated channel","Transmembrane transport: extracellular ligand gated channel","lgc-54 is an ortholog of human GLRA4 (glycine receptor alpha 4), GLRA3 (glycine receptor alpha 3), and GLRA2 (glycine receptor alpha 2)\; is predicted to have extracellular ligand-gated ion channel activity and transmembrane signaling receptor activity."
